Date,Time,Workdone,Toolused
14/7/2016,8.00-12.30,calculate the percentage of the result from the AWK,libra
14/7/2016,2.30-5.30,Analysis the result oRf the data 
15/7/2016,8.00-12.30,Produce the rmarkdown file for Novoalign with ART and BWA with ART for each chromosome,rmarkdown
15/7/2016,2.30-5.30,finish the slide and prepared for the presentation for next week,libra
17/7/2016,8.30-12.30, Produce a simulated paired end fastq from the region of CHR22 of Human Chromosome by using the ART,ART
17/7/2016,2.30-5.30, Produce a simulated single end fastq from the region of CHR22 of Human Chromosome by using the ART,ART
18/7/2016,8.30-12.30,learning the about Perl,iceweasel
18/7/2016,2.30-3.30, presentation of the slide,rmarkdown
18/7/2016,3.30-5.30,The rmarkdown and table need to done again due to the word use,rmakrdown and libra
19/7/2016,8.30-12.30, Produce a simulated paired end fastq from the region of CHR22 of Human Chromosome by using the ART (change the nameset),ART
19/7/2016,2.30-5.30, Produce a simulated single end fastq from the region of CHR22 of Human Chromosome by using the ART (change the nameset),ART
20/7/2016,8.30-10.30,calculate and analysis for each chromosome again due to data to be contain the duplication,libra and AWK
20/7/2016,10.30-12.30,redone the experiment for novo for the chromosome 1,2 and 3 for -t 154 because to see if duplication or wrong calculation,novoalign
20/7/2016,2.30-5.30,merge with art and using AWk to get the result for the redone calculation,perl and AWK
21/7/2016,8.30-10.30,Analysis the the result to check the duplicatain,libra
21/7/2016,10.30-12.30,learning the graph in R especially venn diagram,R
21/7/2016,2.30-5.30,finding the merge between Novoalign and BWA for acceptable range for basepair location,perl
22/7/2016,8.30-12.30,making the venn diagram for the acceptable range, R
22/7/2016,2.30-5.30,making the slide presentation again for the presentation
25/7/2016,8.30-12.30,study XPATH on w33school,iceweasel
25/7/2016,2.30-5.30,presentation of the slide,rmarkdown
26/7/2016,8.30-12.30,finding the merge between Novoalign and BWA for exectly mapped,perl
26/7/2016,2.30-5.30,making the venn diagram for the exectly mapped, R
28/7/2016,-,medical leave,-
29/7/2016,8.30-12.30,study MYSQL on w33shool,iceweasel
29/7/2016,2.30-5.30,Analysis the venn diagram and rmarkdown file,rmarkdown and R
1/8/2016,8.30-12.30,produce the slide presentation again for the presentation
1/8/2016,2.30-5.30,presentation of the slide of venn diagram, Rmarkdown
2/8/2016,8.30-12.30,calculate the presentation of the of the acceptable range of basepair location and exectly match of Novo and BWA with ART,AWK
2/8/2016,2.30-5.30,analysis the result and making the venn diagram in the rmarkdown,R
3/8/2016,8.30-12.30,redone the slide of the of the rmarkdown that contain venn diagram,rmarkdown
3/8/2016,2.30-5.30,learning the python,iceweasel
4/8/2016,8.30-12.30,done the rmarkdown for the entire task done during the intership,rmarkdown
4/8/2016,2.30-5.30,finish the rmarkdown slide for the end of project and report of the intern,rmarkdown
5/8/2016,8.30-12.30,learn about grinder,iceweasel
5/8/2016,2.30-5.30,finish everthing and present the final presentation and report,rmarkdown
8/8/2016,learning the SDL and Perl,iceweasel

