Date,Time,Workdone,Toolused
9/5/2016,2.30-5.30,get more result of the bash script and learning data manipulation using R,iceweasel and bash script
10/5/2016,8.30-10.30,get more result to get the average value to validate the result,bash script and R
10/5/2016,10.30-12.30,use R to manipulate the data for easy to calculate the data,R
10/5/2016,2.30-5.30,complete the data table by using R to calculate the table,R
11/5/2016,8.30-10.30,tabulate the average for the five table using R,R
11/5/2016,10.30-12.30,tabulate the average for the five table using R,R
11/5/2016,2.30-5.30,fine turning the data collection,bash script and R
12/5/2016,8.30-12.30,get the data of -t for 110-140 by using -c=1,bash script
12/5/2016,2.30-5.30,tabulate the data and doing a calculation,R
13/5/2016,8.30-12.30,get the data for -t 70-100 by using -c=1,bash script and hpc1
13/5/2016,2.30-5.30,tabulate the data and doing a calculation,R
16/5/2016,8.30-12.30,finish data and tabulate the data for -t 0-60 by using -c=1,bash and R
16/5/2016,2.30-5.30,learning how to use qualimap and its function,qualimap
17/5/2016,-,medical leave,-
18/5/2016,8.30-10.30,learning function and how to use qualimap,qualimap
18/5/2016,10.30-12.30,change the format from sam to bam and sort it,samtools
18/5/2016,2.30-5.30,using qualimap to find the different of the mapping quality and unique mapping of each sam/bam file,qualimap
19/5/2016,8.30-10.30,get the new sam file for art,ART and bash
19/5/2016,10.30-12.30,get the new alignment file for -t 0-160 for new fastq created, bash script
19/5/2016,2.30-5.30,get the qualimap to work in command line to test the new alignment file,qualimap
20/5/2016,8.30-12.30,get sorted bam file for each of the alignment and ART sam,samtools
20/5/2016,2.30-5.30,using qualimap to get the alignment read for each of the bam file and compare,qualimap
23/5/2016,8.30-12.30,tabulate and plot the graph of the qualimap for each of the bam file, R
23/5/2016,2.30-3.30,presentation about the qualimap result about the mapping area,Rmarkdown
23/5/2016,3.30-5.30, get new result of novoalign by using the -r for reporting the multimapped.
24/5/2016,8.30-12.30,convert new result into the bam sorted format,samtools
24/5/2016,2.30-5.30,get the result into the qualimap and clean the result,qualimap
25/5/2016,8.30-10.30,get the sam from ART into bam file, samtools
25/5/2016,10.30-12.30,use novoalign to mapped the bam file into the TAIR10, novoalign
25/5/2016,2.30-5.30,use mapped bam into the qualimap and looking the intersect with bedtools,qualimap and bedtools
26/5/2016,8.30-12.30, change the sam file from the art due to mistake during sam to bam conversion,vim and ART
26/5/2016,2.30-5.30,get the new bam to be mapped again, bash script and samtoools
27/5/2016,8.30-10.30,produce bedtools intersect for the ART bam and novoalign BAM, bedtools
27/5/2016,10.30-12.30,produce qualimap for all of the bam sorted file, samtools and qualimap
27/5/2016,2.30-5.30,understanding the iGV for easy to reading the genome and finding the gap and similarity between function, IGV
